150,"ival de Cine aindance Unido - virtual)","No especificado",presencial,festival
151,"l Internacional de Guadalajara México)","No especificado",presencial,festival
152,"Montevideo Uruguay)","No especificado",presencial,festival
153,"EVENTO RNACIONAL ULADO A LA TULACIÓN Premios Goya","España",presencial,festival
154,"val de Málaga, en español","España",presencial,festival
155,"EVENTO RNACIONAL ULADO A LA TULACIÓN ival de Cine de las Alturas",Argentina,presencial,festival
157,"EVENTO RNACIONAL ULADO A LA TULACIÓN DocsMX éxico - virtual)","No especificado",presencial,festival
158,"EVENTO RNACIONAL ULADO A LA TULACIÓN ab Guion bia - virtual)","No especificado",presencial,festival
159,"EVENTO RNACIONAL ULADO A LA TULACIÓN Lab Guion ombia - virtual)","No especificado",presencial,festival
160,"Salón de Productores y Proyectos Cinematográficos FICCali","No especificado",presencial,festival
161,"SANFIC, Santiago Festival Internacional de Cine","No especificado",presencial,festival
163,"C, SANTIAGO ESTIVAL RNACIONAL DE CINE ESPACIO RMATIVO)","No especificado",presencial,festival
164,", SANTIAGO STIVAL NACIONAL E CINE SPACIO MATIVO)","No especificado",presencial,festival
165,"livia Lab SPACIO S MATIVO)","No especificado",presencial,festival
166,"ESTIVAL ACIONAL DE OCUMENTAL S ENOS AIRES A","No especificado",presencial,festival
167,"al Internacional e Documental ntros del Otro e"" - EDOC","No especificado",presencial,festival
168,"val Internacional ne Documental S entros del Otro ne"" - EDOC","No especificado",presencial,festival
169,"BFI Festival de Cine de Londres","No especificado",presencial,festival
170,"estival de San S Sebastián","No especificado",presencial,festival
171,"Pixelatl S","No especificado",presencial,festival
173,"MIA, Mercado Audiovisual S Internacional","No especificado",presencial,festival
175,"Festival nternacional de S/ Cine Doclisboa","No especificado",presencial,festival
176,"Internacional de S de Valdivia","No especificado",presencial,festival
177,"Internacional de Sao Paulo","No especificado",presencial,festival
178,"n Black Nights S estival - PÖFF","No especificado",presencial,festival
179,"nary Islands ernational Film Market","No especificado",presencial,festival
180,"Nativa Festival S","No especificado",presencial,festival
181,"NACIONAL LADO A LA E ULACIÓN Festival rnacional de Documental S uenos Aires FIDBA","No especificado",presencial,festival
182,"tival Des 3 S ntinents","No especificado",presencial,festival
183,"Festival Internacional de Cine Documental de Ámsterdam","No especificado",presencial,festival
184,"EVENTO RNACIONAL ULADO A LA TULACIÓN GOSHORTS","No especificado",presencial,festival
186,"LIN BLACK GHTS FILM IVAL - PÖFF","No especificado",presencial,festival
187,"FESTIVAL DE MÁLAGA","España",presencial,festival
188,"Festival Internacional de Cine de San Sebastián","España",presencial,festival
189,"Festival Internacional de Cine de Viña del Mar",CHILE,presencial,festival
190,"FESTIVAL INTERNACIONAL DE CINE FANTÁSTICO DE CATALUÑA","ESPAÑA",presencial,festival
192,"Festival de Cine de las Alturas",ARGENTINA,presencial,festival
196,"PREMIOS OSCAR",EE.UU,presencial,festival
197,"PREMIOS GOYA","ESPAÑA",presencial,festival
199,"FESTIVAL BIARRITZ AMÉRICA LATINA",FRANCIA,presencial,festival
200,"FESTIVAL INTERNACIONAL DE CINE DE VALDIVIA",CHILE,presencial,festival
202,"FESTIVAL INTERNACIONAL DE CINE DE SAO PAULO",BRASIL,presencial,festival
203,"FESTIVAL DE CINE IBEROAMERICANO DE HUELVA","ESPAÑA",presencial,festival
204,"VENTANA SUR",ARGENTINA,presencial,festival
205,"FESTIVAL INTERNACIONAL DE CINE DOCUMENTAL DE ÁMSTERDAM","PAÍSES BAJOS",presencial,festival
214,"FESTIVAL INTERNACIONAL DEL NUEVO CINE LATIAMERICANO DE LA HABANA",CUBA,presencial,festival
223,"Cine Qua Non LAB","México - virtual",presencial,festival
224,DocsMX,"No especificado",presencial,festival
226,"FESTIVAL DE CANNES","No especificado",presencial,festival
229,"FESTIVAL INTERNACIONAL DE CINE DE VIÑA DEL MAR FICVIÑA","No especificado",presencial,festival
231,"SALÓN DE PRODUCTORES Y PROYECTOS CINEMATOGRÁFICOS FICCALI","No especificado",presencial,festival
232,PIXELATL,"No especificado",presencial,festival
233,"FECIR FESTIVAL INTERNACIONAL CINE RENGO","No especificado",presencial,festival
234,"BOLIVIA LAB","No especificado",presencial,festival
235,BOGOSHORT,"No especificado",presencial,festival
236,"Lab Guion","No especificado",presencial,festival
237,"IndiFest – Festival de Cinema Indígena de Barcelona","No especificado",presencial,festival
238,"Premios Óscar","No especificado",presencial,festival
239,"FESTIVAL INTERNACIONAL DE CINE DOCLISBOA","No especificado",presencial,festival
241,"Canary Islands International Film Market","No especificado",presencial,festival
242,"Festival Internacional del Nuevo Cine Latinoamericano de La Habana","No especificado",presencial,festival
243,"Festival Internacional de Cine de Guadalajara","México",presencial,festival
244,"Festival Internacional de Cine de Guadalajara","México",presencial,festival
245,"Festival de Cine de Tribeca","Estados Unidos",presencial,festival
246,"Festival Biarritz América Latina",Francia,presencial,festival
